['adonan', 0.8921985363051652]
['matanya', 0.9040730640878492]
['maukah', 0.8816442073151972]
['melahirkan', 0.9089948545591713]
['melaju', 0.9056992042016909]
['melaknat', 0.9040730640878492]
['melaksanakan', 0.7423625984428961]
['melaksanakannya', 0.8719414201876872]
['melakukannya', 0.8302727245004582]
['melanggar', 0.9089948545591713]
['melanjutkan', 0.8737997883553122]
['melarang', 0.8397385477943642]
['melawan', 0.8926295382235396]
['melebihi', 0.9040730640878492]
['melempar', 0.9070194029944069]
['melepas', 0.8951448752117229]
['meletakkan', 0.8305484723808457]
['meletakkannya', 0.9040730640878492]
['melewati', 0.8739430458359181]
['melihat-nya', 0.8981144006270572]
['melihatku', 0.9070194029944069]
['melihatmu', 0.9089948545591713]
['melindungi', 0.9070194029944069]
['melintas', 0.9040730640878492]
['melintaslah', 0.9070194029944069]
['melompat', 0.9070194029944069]
['meludah', 0.8059482705997013]
['melumuri', 0.9070194029944069]
['melupakan', 0.8913136754174011]
['meluruskan', 0.9040730640878492]
['memabukkan', 0.9056992042016909]
['memahami', 0.893192610155735]
['memajukannya', 0.9066932780522607]
['memakai', 0.8926295382235396]
['memakan', 0.9040730640878492]
['memakannya', 0.9056992042016909]
['memalingkan', 0.9040730640878492]
['memanfaatkan', 0.9070194029944069]
['memanggil', 0.9040730640878492]
['memasuki', 0.8926295382235396]
['memasukinya', 0.9040730640878492]
['memasukkan', 0.8958735568366359]
['memasukkannya', 0.8767403504214643]
['mematuk-matuk', 0.9070194029944069]
['membaca', 0.791929939366503]
['membacakan', 0.9040730640878492]
['membagi-bagikan', 0.9070194029944069]
['membagikannya', 0.9070194029944069]
['membaguskan', 0.8921985363051652]
['membahayakan', 0.9066932780522607]
['membaiat', 0.8863026511226553]
['membalik', 0.8926295382235396]
['membangkang', 0.9040730640878492]
['membangun', 0.8840506607983359]
['membangunkan', 0.893192610155735]
['membantingnya', 0.9070194029944069]
['membasuh', 0.8565840187611803]
['membasuhnya', 0.8958735568366359]
['membawa', 0.7835262911878283]
['membawakan', 0.9056992042016909]
['membawanya', 0.9070194029944069]
['membebani', 0.9070194029944069]
['membebaskan', 0.873560182561719]
['membebaskannya', 0.9070194029944069]
['membela', 0.9070194029944069]
['membelah', 0.9056992042016909]
['membelakangi', 0.9056992042016909]
['membelakanginya', 0.8921985363051652]
['membenarkan', 0.8971203267764873]
['membenarkannya', 0.9040730640878492]
['membenci', 0.9089948545591713]
['membentang', 0.9040730640878492]
['memberatkan', 0.8892759078166024]
['memberimu', 0.9040730640878492]
['memberitahukan', 0.8951448752117229]
['memberkahinya', 0.9056992042016909]
['membersihkan', 0.8798727385189317]
['membicarakan', 0.9070194029944069]
['membongkar', 0.9040730640878492]
['membuang', 0.9056992042016909]
['membuangnya', 0.9040730640878492]
['membuatkan', 0.9040730640878492]
['membunuh', 0.8790450449652366]
['memegang', 0.8494945801537184]
['memelihara', 0.902433793445067]
['memeluk', 0.9040730640878492]
['memenangkan', 0.9070194029944069]
['memenuhinya', 0.9089948545591713]
['memerangi', 0.8954941866626456]
['memeranginya', 0.9089948545591713]
['memercikinya', 0.8921985363051652]
['memercikkannya', 0.9056992042016909]
['memerdekakan', 0.9040730640878492]
['memerintahkan', 0.8531067773538314]
['memerintahkanmu', 0.9070194029944069]
['memilih', 0.8926295382235396]
['memiliki', 0.8009300896777466]
['memimpin', 0.8921985363051652]
['memindahkan', 0.9040730640878492]
['meminum', 0.8984405255692033]
['meminumnya', 0.9070194029944069]
['memiringkannya', 0.9070194029944069]
['memohon', 0.9040730640878492]
['memohonkan', 0.9056992042016909]
['memotong', 0.9056992042016909]
['mempelajarinya', 0.9070194029944069]
['memperbagus', 0.9056992042016909]
['memperbaiki', 0.9089948545591713]
['memperbincangkannya', 0.9066932780522607]
['memperebutkan', 0.9056992042016909]
['memperhatikan', 0.9040730640878492]
['memperingatkan', 0.9070194029944069]
['memperkerjakan', 0.9066932780522607]
['memperlakukannya', 0.9070194029944069]
['mempermasalahkan', 0.9066932780522607]
['memperoleh', 0.9089948545591713]
['memperolehnya', 0.9070194029944069]
['memperpanjang', 0.9056992042016909]
['mempersulit', 0.9089948545591713]
['mempertunjukkan', 0.9040730640878492]
['memuji', 0.8978547852418061]
['menafkahkan', 0.9089948545591713]
['menafsirkan', 0.9066932780522607]
['menahan', 0.9070194029944069]
['menaklukan', 0.9040730640878492]
['menamakan', 0.9066932780522607]
['menambatkan', 0.8921985363051652]
['menampakkan', 0.9066932780522607]
['menampung', 0.9070194029944069]
['menancapkan', 0.8921985363051652]
['menancapkannya', 0.9040730640878492]
['menangis', 0.8716414693290075]
['menangkap', 0.9056992042016909]
['menanyakannya', 0.893192610155735]
['menarik', 0.8926295382235396]
['menariknya', 0.8958735568366359]
['menasehati', 0.902433793445067]
['menawarkan', 0.9040730640878492]
['mencabut', 0.8985043763225544]
['mencabutnya', 0.9070194029944069]
['mencaci', 0.9056992042016909]
['mencampakkannya', 0.9089948545591713]
['mencampur', 0.9040730640878492]
['mencari', 0.8547423587157912]
['mencelakakan', 0.9056992042016909]
['mencelanya', 0.9070194029944069]
['mencelup', 0.9056992042016909]
['menceraikan', 0.9040730640878492]
['mencerca', 0.9089948545591713]
['menceritakan', 0.6594155322452246]
['menceritakannya', 0.8985043763225544]
['menciduk', 0.8951448752117229]
['mencintai', 0.902433793445067]
['mencium', 0.8958735568366359]
['mencuci', 0.8731554671724647]
['mencucinya', 0.8958735568366359]
['mencukupkan', 0.9056992042016909]
['mencukur', 0.8951448752117229]
['mencuri', 0.8984405255692033]
['mendahulukan', 0.9040730640878492]
['mendampingi', 0.9066932780522607]
['mendapati', 0.870763753383083]
['mendapatkannya', 0.9040730640878492]
['mendapatkanya', 0.9040730640878492]
['mendatangiku', 0.9066932780522607]
['mendatanginya', 0.8958735568366359]
['mendekati', 0.8926295382235396]
['mendekatkan', 0.9056992042016909]
['mendekatlah', 0.9089948545591713]
['mendengar', 0.7315639043435763]
['mendengarnya', 0.9040730640878492]
['mendengkur', 0.9056992042016909]
['mendidiknya', 0.9070194029944069]
['mendirikan', 0.863062591903804]
['mendoakan', 0.8921985363051652]
['mendoakannya', 0.9040730640878492]
['mendorong', 0.9040730640878492]
['mendorongnya', 0.9089948545591713]
['mendudukkan', 0.9056992042016909]
['menegakkan', 0.862956991326374]
['menegurku', 0.9040730640878492]
['menekannya', 0.9066932780522607]
['menempatkan', 0.9070194029944069]
['menempel', 0.9056992042016909]
['menemui', 0.8319885606799715]
['menemukan', 0.9070194029944069]
['menemukannya', 0.9040730640878492]
['menengadah', 0.9040730640878492]
['menenggelamkan', 0.9070194029944069]
['menentangmu', 0.9070194029944069]
['menepatinya', 0.9089948545591713]
['menerangi', 0.9040730640878492]
['menerangkan', 0.8865659977865193]
['menerima', 0.8961389490622927]
['meneruskan', 0.8951448752117229]
['meneteskan', 0.9066932780522607]
['mengabarkan', 0.8343017676319968]
['mengadu', 0.9056992042016909]
['mengahapus', 0.9040730640878492]
['mengajak', 0.893192610155735]
['mengajaknya', 0.9040730640878492]
['mengajarkan', 0.8899254988973508]
['mengajarkannya', 0.9070194029944069]
['mengakhirkan', 0.8903423448287763]
['mengalahkannya', 0.9066932780522607]
['mengalami', 0.9066932780522607]
['mengalir', 0.8921985363051652]
['mengalirnya', 0.9040730640878492]
['mengambil', 0.7990396081644345]
['mengambilkan', 0.9040730640878492]
['mengambilnya', 0.873560182561719]
['mengampuni', 0.9056992042016909]
['mengandung', 0.9056992042016909]
['menganggap', 0.9066932780522607]
['menganggapnya', 0.8935187350978812]
['mengangkat', 0.844387338911464]
['mengangkatnya', 0.9040730640878492]
['mengangkut', 0.9040730640878492]
['mengantuk', 0.9056992042016909]
['menganyam', 0.8926295382235396]
['mengasingkan', 0.9040730640878492]
['mengecat', 0.9056992042016909]
['mengelilingi', 0.9040730640878492]
['mengeluarkan', 0.8682452488542773]
['mengembalikannya', 0.8981144006270572]
['mengenakan', 0.7967083635620434]
['mengenakannya', 0.8958735568366359]
['mengenal', 0.9066932780522607]
['mengenalmu', 0.9056992042016909]
['mengendarai', 0.9056992042016909]
['mengerikan', 0.9040730640878492]
['mengerjakannya', 0.8978547852418061]
['mengerti', 0.8846137327305315]
['mengertinya', 0.9066932780522607]
['mengetahuinya', 0.9040730640878492]
['mengganggu', 0.9040730640878492]
['menggangguku', 0.8926295382235396]
['menggantinya', 0.9040730640878492]
['menggelar', 0.9040730640878492]
['menggeledah', 0.9040730640878492]
['menggembalakan', 0.9089948545591713]
['menggendong', 0.9040730640878492]
['menggerakkan', 0.9066932780522607]
['menggeser', 0.9056992042016909]
['menggeserku', 0.9056992042016909]
['menggosoknya', 0.9056992042016909]
['menggunakannya', 0.9056992042016909]
['menghadap', 0.7596341013051642]
['menghadapkan', 0.8981144006270572]
['menghadaplah', 0.9040730640878492]
['menghadapnya', 0.8926295382235396]
['menghadiri', 0.9040730640878492]
['menghafal', 0.9070194029944069]
['menghafalnya', 0.9070194029944069]
['menghamparkannya', 0.9070194029944069]
['menghampiri', 0.9056992042016909]
['menghapus', 0.9066932780522607]
['menghapuskan', 0.9066932780522607]
['mengharamkan', 0.8820752092335715]
['mengharap', 0.879406133023783]
['mengharapkah', 0.9040730640878492]
['mengherankan', 0.8935187350978812]
['menghidangkannya', 0.9056992042016909]
['menghilang', 0.8978547852418061]
['menghindari', 0.9066932780522607]
['menghitam', 0.9089948545591713]
['menghukum', 0.9070194029944069]
['menghukumnya', 0.9089948545591713]
['mengidzinkan', 0.9070194029944069]
['mengidzinkanku', 0.9070194029944069]
['mengikuti', 0.8659384797381915]
['mengikutimu', 0.9070194029944069]
['mengikutinya', 0.9056992042016909]
['mengimami', 0.8951448752117229]
['mengingat-ku', 0.9066932780522607]
['mengingkari', 0.9089948545591713]
['mengirim', 0.9040730640878492]
['mengisinya', 0.9056992042016909]
['mengizinkan', 0.9056992042016909]
['mengizinkannya', 0.9056992042016909]
['menguasai', 0.9040730640878492]
['menguatkan', 0.9040730640878492]
['menguburnya', 0.9040730640878492]
['mengulangi', 0.9066932780522607]
['mengumandangkan', 0.9066932780522607]
['mengumpat', 0.9066932780522607]
['mengungkapkannya', 0.8913136754174011]
['mengunjungi', 0.9040730640878492]
['mengurangi', 0.9066932780522607]
['menguranginya', 0.9089948545591713]
['mengurus', 0.9070194029944069]
['mengusap', 0.808952399020247]
['mengusap-ngusapkannya', 0.9056992042016909]
['mengusapkan', 0.9040730640878492]
['mengusapkannya', 0.9040730640878492]
['mengusapnya', 0.9056992042016909]
['mengutusku', 0.9070194029944069]
['mengutusmu', 0.9070194029944069]
['meniatkannya', 0.9040730640878492]
['menikahinya', 0.8935187350978812]
['menimpa', 0.9070194029944069]
['meninggal', 0.8542744761551078]
['meninggalkan', 0.8752370705451675]
['meninggi', 0.8838159479703712]
['meninggikan', 0.9070194029944069]
['menjadikan', 0.8634525675993012]
['menjadikannya', 0.9056992042016909]
['menjamin', 0.9089948545591713]
['menjamu', 0.9070194029944069]
['menjauh', 0.8985043763225544]
['menjauhi', 0.9089948545591713]
['menjawabmu', 0.9070194029944069]
['menjelang', 0.9040730640878492]
['menjenguk', 0.9040730640878492]
['menjilat', 0.9056992042016909]
['menjilat-jilat', 0.9056992042016909]
['menjualnya', 0.9040730640878492]
['menshalatinya', 0.9040730640878492]
['mensucikannya', 0.9070194029944069]
['menulis', 0.9070194029944069]
['menumbuhkan', 0.9070194029944069]
['menumpahkan', 0.9070194029944069]
['menunaikan', 0.841256816178635]
['menunda', 0.9066932780522607]
['menunggu', 0.8719414201876872]
['menuntaskan', 0.9066932780522607]
['menuruni', 0.9040730640878492]
['menurunkan', 0.8836196588799616]
['menurutku', 0.8820752092335715]
['menutup', 0.8817490842914254]
['menutupi', 0.8820752092335715]
['menutupiku', 0.9040730640878492]
['menutupinya', 0.9089948545591713]
['menyadari', 0.8951448752117229]
['menyaksikan', 0.9040730640878492]
['menyalahkanku', 0.9070194029944069]
['menyambutnya', 0.9056992042016909]
['menyampaikannya', 0.8866298485398705]
['menyantap', 0.9040730640878492]
['menyanyikan', 0.9040730640878492]
['menyebabkan', 0.9040730640878492]
['menyebutkannya', 0.9070194029944069]
['menyekutukan', 0.9089948545591713]
['menyekutukan-nya', 0.9070194029944069]
['menyekutukannya', 0.9089948545591713]
['menyela-nyela', 0.9056992042016909]
['menyelimutkan', 0.9040730640878492]
['menyelisihi', 0.9070194029944069]
['menyembah', 0.9089948545591713]
['menyembelih', 0.8935187350978812]
['menyembelihmu', 0.9056992042016909]
['menyembunyikan', 0.8951448752117229]
['menyempurnakan', 0.9066932780522607]
['menyengat', 0.8838159479703712]
['menyentuh', 0.862997333440809]
['menyentuhku', 0.9040730640878492]
['menyerahkannya', 0.9040730640878492]
['menyerap', 0.9070194029944069]
['menyeret', 0.9040730640878492]
['menyeretnya', 0.9089948545591713]
['menyertai', 0.9070194029944069]
['menyerupai', 0.9070194029944069]
['menyesatkan', 0.9070194029944069]
['menyia-nyiakan', 0.9089948545591713]
['menyiram', 0.8853192278466678]
['menyiramkan', 0.9056992042016909]
['menyiramnya', 0.9056992042016909]
['menyisir', 0.9056992042016909]
['menzhalimi', 0.9066932780522607]
['merah', 0.8820752092335715]
['merahmati', 0.9070194029944069]
['merajalela', 0.9070194029944069]
['merasakan', 0.8876239223904402]
['merdekakan', 0.9040730640878492]
['merebaknya', 0.8985043763225544]
['mereda', 0.8978547852418061]
['merekapun', 0.9066932780522607]
['merenggangkan', 0.9066932780522607]
['merenovasi', 0.9040730640878492]
['merias', 0.9040730640878492]
['meringankan', 0.9066932780522607]
['meriwayatkan', 0.8730653298899935]
['merusaknya', 0.9070194029944069]
['mewafatkan', 0.8961389490622927]
['mewahyukan', 0.8913136754174011]
['mewajibkan', 0.9040730640878492]
['mewariskan', 0.9056992042016909]
['milik', 0.8608217481133826]
['miliki', 0.9040730640878492]
['mimbar', 0.8648288051450759]
['mimpinya', 0.8951448752117229]
['minum', 0.8468954106054909]
['minuman', 0.9056992042016909]
['minumlah', 0.9056992042016909]
['minyak', 0.9040730640878492]
['muadzin', 0.9066932780522607]
['mudah', 0.8954941866626456]
['mudah-mudahan', 0.9056992042016909]
['mudik', 0.9070194029944069]
['muhajir', 0.9089948545591713]
['muhajirin', 0.8935187350978812]
['muka', 0.8849931029045217]
['mukamu', 0.9040730640878492]
['mukanya', 0.8768241262794809]
['mukim', 0.9040730640878492]
['mukmin', 0.8926295382235396]
['mukminat', 0.9066932780522607]
['mukminin', 0.8961389490622927]
['muliaku', 0.9070194029944069]
['mulut', 0.9089948545591713]
['mulutnya', 0.9056992042016909]
['muminat', 0.9040730640878492]
['munafik', 0.9056992042016909]
['munafiq', 0.9070194029944069]
['muncul', 0.893192610155735]
['mundur', 0.9040730640878492]
['munkar', 0.9066932780522607]
['murid', 0.8985043763225544]
['muridnya', 0.9070194029944069]
['murtad', 0.9089948545591713]
['mushibah', 0.9040730640878492]
['musibah', 0.9070194029944069]
['muslim', 0.824185153480604]
['muslimin', 0.8915533395129528]
['musuhku', 0.9040730640878492]
['musyrik', 0.8825219232611217]
['musyrikin', 0.8935187350978812]
['nabi-nabi', 0.9040730640878492]
['nabinya', 0.9070194029944069]
['nafkah', 0.902433793445067]
['nama', 0.8985043763225544]
['nama-nama', 0.8921985363051652]
['namaku', 0.8985043763225544]
['nampak', 0.8436045116403863]
['nashara', 0.893192610155735]
['nasihat', 0.9089948545591713]
['negeri', 0.8935187350978812]
['nenek', 0.9040730640878492]
['neraka', 0.7889228592814365]
['niat', 0.9089948545591713]
['nifaq', 0.9089948545591713]
['nikmat', 0.9066932780522607]
['niscaya', 0.8961389490622927]
['non-arab', 0.9056992042016909]
['orang-orang', 0.6321413064314568]
['orangnya', 0.9040730640878492]
['padang', 0.9070194029944069]
['pagi', 0.8462649446527692]
['paginya', 0.9040730640878492]
['paha', 0.8873784552694489]
['pahala', 0.8591337124400291]
['pahalanya', 0.9089948545591713]
['paham', 0.9070194029944069]
['pakaian', 0.7971107973008462]
['pakaiannnya', 0.9040730640878492]
['pakaiannya', 0.8921985363051652]
['pamannya', 0.9040730640878492]
['panah', 0.9040730640878492]
['panahmu', 0.9040730640878492]
['panas', 0.8684604276632951]
['panasnya', 0.8843541173452802]
['pandai', 0.8913136754174011]
['panggilan', 0.8921985363051652]
['panggilanmu', 0.9040730640878492]
['panggillah', 0.9040730640878492]
['pangkal', 0.9066932780522607]
['pangkuannya', 0.9056992042016909]
['pantai', 0.9070194029944069]
['papan', 0.9070194029944069]
['pasar-pasar', 0.9070194029944069]
['pasarnya', 0.9040730640878492]
['pasir', 0.893192610155735]
['pasukan', 0.8734963318083679]
['patukan', 0.9070194029944069]
['patung', 0.9040730640878492]
['patungnya', 0.9040730640878492]
['patut', 0.893192610155735]
['pekerjaan', 0.8961389490622927]
['pelajaran', 0.8913136754174011]
['pelaksanaan', 0.8978547852418061]
['pelaksanaannya', 0.9066932780522607]
['pelaksanakaannya', 0.9066932780522607]
['pelaku', 0.9056992042016909]
['pelan', 0.9066932780522607]
['pelan-pelan', 0.9040730640878492]
['pelananya', 0.9040730640878492]
['pelayannya', 0.9070194029944069]
['pelipis', 0.9066932780522607]
['pemahaman', 0.8985043763225544]
['pemandangan', 0.8935187350978812]
['pemaparan', 0.9070194029944069]
['pembatas', 0.9040730640878492]
['pembesar', 0.8850037084260287]
['pembuangan', 0.9056992042016909]
['pembunuhan', 0.8985043763225544]
['pemikiran', 0.9040730640878492]
['pemilik', 0.9089948545591713]
['pemiliknya', 0.8985043763225544]
['pemimpin', 0.9070194029944069]
['pendapat', 0.893192610155735]
['pendek', 0.9040730640878492]
['penduduk', 0.8647465923085507]
['penduduknya', 0.9040730640878492]
['penegasan', 0.9070194029944069]
['penerang', 0.9040730640878492]
['pengajaran', 0.9070194029944069]
['pengantin', 0.9040730640878492]
['pengetahuan', 0.8984405255692033]
['penggembala', 0.902433793445067]
['penghujung', 0.9040730640878492]
['penghuni', 0.8926295382235396]
['penghuninya', 0.9040730640878492]
['pengikatnya', 0.9070194029944069]
['penjelasan', 0.8866298485398705]
['penuh', 0.8935187350978812]
['penuhi', 0.9040730640878492]
['penuhilah', 0.9040730640878492]
['penumpangnya', 0.9070194029944069]
['penutup', 0.8926295382235396]
['penyayang', 0.9070194029944069]
['peperangan', 0.8826382811657669]
['pepohonan', 0.9070194029944069]
['perahu', 0.9070194029944069]
['perak', 0.9070194029944069]
['perang', 0.8730653298899935]
['perawi', 0.9066932780522607]
['perbandingannya', 0.9070194029944069]
['perbekalan', 0.9056992042016909]
['perbuatan-perbuatan', 0.9066932780522607]
['perbuatannya', 0.9040730640878492]
['perdagangan', 0.8935187350978812]
['perdebatan', 0.9070194029944069]
['perempuan', 0.8718185599501421]
['pergi', 0.7690491458442698]
['pergilah', 0.8935187350978812]
['pergunakanlah', 0.8935187350978812]
['perhatikan', 0.9089948545591713]
['perhitungan', 0.9089948545591713]
['perhitungannya', 0.9040730640878492]
['perintah', 0.9070194029944069]
['perintahkan', 0.893192610155735]
['perisai', 0.9056992042016909]
['peristiwa', 0.9040730640878492]
['perjalanan', 0.8820752092335715]
['perkara', 0.8603367773619625]
['perkara-perkara', 0.902433793445067]
['perkiraanku', 0.9070194029944069]
['perlindungan', 0.8935187350978812]
['permainan', 0.9040730640878492]
['permasalahan', 0.9070194029944069]
['permata', 0.9040730640878492]
['permintaan', 0.9040730640878492]
['permudahlah', 0.9070194029944069]
['permukaan', 0.9070194029944069]
['permulaan', 0.9066932780522607]
['pernyataan', 0.9066932780522607]
['perperang', 0.9070194029944069]
['perpisahan', 0.9070194029944069]
['persahabatannya', 0.9040730640878492]
['persaksian', 0.8918794644550989]
['persatu', 0.8921985363051652]
['persaudaraan', 0.8926295382235396]
['persoalanmu', 0.9070194029944069]
['persulit', 0.9070194029944069]
['persyaratan', 0.9040730640878492]
['persyaratanku', 0.9066932780522607]
['pertemuan', 0.8984405255692033]
['pertiga', 0.9040730640878492]
['perubahan', 0.9040730640878492]
['perumpamaan', 0.8851077341559941]
['perutnya', 0.9070194029944069]
['perzinahan', 0.8985043763225544]
['pesan', 0.9056992042016909]
['petang', 0.9066932780522607]
['petunjuk', 0.8659384797381915]
['petunjuknya', 0.9070194029944069]
['pilihan', 0.9040730640878492]
['pimpin', 0.8926295382235396]
['pindah', 0.9056992042016909]
['pinggir', 0.9089948545591713]
['pinggiran', 0.9056992042016909]
['pingsan', 0.9040730640878492]
['pintu', 0.8200467558077777]
['pintunya', 0.9040730640878492]
['pisaunya', 0.9056992042016909]
['pohon', 0.8500559254327409]
['pohon-pohon', 0.8820752092335715]
['pohonnya', 0.9070194029944069]
['polos', 0.9040730640878492]
['posisi', 0.8453661197562575]
['posisinya', 0.8926295382235396]
['praktek', 0.9070194029944069]
['puasa', 0.8809990105229848]
['pulang', 0.9066932780522607]
['puluh', 0.8734963318083679]
['puncak', 0.9040730640878492]
['pundak', 0.9040730640878492]
['pundakmu', 0.9040730640878492]
['pundaknya', 0.8532105387161425]
['punggungku', 0.9040730640878492]
['purnama', 0.8978547852418061]
['putihnya', 0.9066932780522607]
['putra', 0.9070194029944069]
['qiblat', 0.8954941866626456]
['qodar', 0.9089948545591713]
['quba', 0.9066932780522607]
['qubur', 0.9056992042016909]
['quraisy', 0.8702006814508876]
['quran', 0.8935187350978812]
['rabbku', 0.9040730640878492]
['rabbmu', 0.887300456251838]
['rabbnya', 0.8536887358277105]
['ragu', 0.876424831000825]
['rahmatilah', 0.8926295382235396]
['raja', 0.8981144006270572]
['ramadlan', 0.878852659182598]
['rambut', 0.8689922845868174]
['rambutnya', 0.9056992042016909]
['rampasan', 0.8849398576726775]
['ranjangnya', 0.9040730640878492]
['rasul', 0.9070194029944069]
['rasul-ku', 0.9089948545591713]
['rasul-nya', 0.8761737368780932]
['rasul-rasul-nya', 0.9089948545591713]
['rasulullah', 0.5174987101876674]
['ratus', 0.9089948545591713]
['redaksi', 0.9070194029944069]
['rendah', 0.9040730640878492]
['renovasi', 0.9040730640878492]
['rerumputan', 0.8985043763225544]
['reruntuhan', 0.9040730640878492]
['rida', 0.8926295382235396]
['ridla', 0.8711947553014574]
['ringan', 0.8718185599501421]
['ringankanlah', 0.9070194029944069]
['riwayat', 0.9040730640878492]
['rizkikan', 0.9056992042016909]
['roboh', 0.9070194029944069]
['rontok', 0.9040730640878492]
['rubah', 0.9070194029944069]
['ruh-ruh', 0.9066932780522607]
['ruku', 0.9089948545591713]
['rukuk', 0.8734076825702795]
['rukuklah', 0.9040730640878492]
['rukun', 0.9056992042016909]
['rukun-rukun', 0.9056992042016909]
['rumah', 0.7921447609402117]
['rumah-rumah', 0.8825219232611217]
['rumahku', 0.8921985363051652]
['rumahmu', 0.9040730640878492]
['rumahnya', 0.9056992042016909]
['rusak', 0.8981144006270572]
['rusaklah', 0.9089948545591713]
['rutin', 0.9089948545591713]
['sabar', 0.9070194029944069]
['sabda', 0.9066932780522607]
['sabilillah', 0.9089948545591713]
['sadar', 0.9056992042016909]
['safar', 0.9040730640878492]
['sahabat', 0.7889575832870402]
['sahabatku', 0.9066932780522607]
['sahara', 0.9070194029944069]
['sahaya', 0.8850037084260287]
['sakit', 0.9070194029944069]
['sakitnya', 0.8951448752117229]
['saku', 0.9070194029944069]
['salim', 0.8820752092335715]
['saluran', 0.9040730640878492]
['samar', 0.9089948545591713]
['sambut', 0.9070194029944069]
['sampah', 0.9056992042016909]
['sampingnya', 0.8813180823730511]
['sanad', 0.9070194029944069]
['sandal', 0.8600489091436864]
['sanggup', 0.8985043763225544]
['sanggupi', 0.9089948545591713]
['sarung', 0.9040730640878492]
['satu-satunya', 0.8984405255692033]
['satunya', 0.9056992042016909]
['satupun', 0.9040730640878492]
['saudara', 0.9070194029944069]
['saudara-saudara', 0.9070194029944069]
['saudaraku', 0.9040730640878492]
['saudaramu', 0.9070194029944069]
['saudaranya', 0.9089948545591713]
['sayang', 0.9040730640878492]
['seakan', 0.8826382811657669]
['seakan-akan', 0.9070194029944069]
['seandainya', 0.836787242331054]
['sebahagian', 0.9040730640878492]
['sebatang', 0.8921985363051652]
['sebatas', 0.9040730640878492]
['sebelah', 0.7734045335704751]
['sebelahnya', 0.9066932780522607]
['sebelumku', 0.8935187350978812]
['sebelummu', 0.9070194029944069]
['sebentar-sebentar', 0.9070194029944069]
['sebulan', 0.9040730640878492]
['seburuk-buruk', 0.8926295382235396]
['sedekah', 0.887560071637089]
['sedikitpun', 0.9066932780522607]
['seekor', 0.9056992042016909]
['seember', 0.9056992042016909]
['segelas', 0.9070194029944069]
['segerakan', 0.9066932780522607]
['segumpal', 0.9089948545591713]
['sehari', 0.8984405255692033]
['seimbanglah', 0.9066932780522607]
['seisinya', 0.9056992042016909]
['sekehendak-nya', 0.9066932780522607]
['sekeliling', 0.9066932780522607]
['selagi', 0.8817490842914254]
['selainnya', 0.8872946794114324]
['selamat', 0.902433793445067]
['selebar', 0.9040730640878492]
['selembar', 0.9040730640878492]
['selendang', 0.8926295382235396]
['selendangmu', 0.9070194029944069]
['selendangnya', 0.9040730640878492]
['selesai', 0.8414461926140815]
['semalam', 0.8984405255692033]
['sembailan', 0.9040730640878492]
['sembelihan', 0.9040730640878492]
['sembelihlah', 0.9070194029944069]
['sembilan', 0.9040730640878492]
['sembunyi-sembunyi', 0.9066932780522607]
['semoga', 0.8649813051365154]
['sempit', 0.9040730640878492]
['sempurna', 0.8971203267764873]
['sempurnakan', 0.9040730640878492]
['sempurnakanlah', 0.9066932780522607]
['senang', 0.8954941866626456]
['senantiasa', 0.8787215788266344]
['sengaja', 0.8712729891669557]
['senior', 0.9040730640878492]
['seorangpun', 0.8167634685583837]
['sepakat', 0.9040730640878492]
['sepasang', 0.8798727385189317]
['sepatu', 0.9040730640878492]
['sepatunya', 0.8320420584735664]
['seperlima', 0.8984405255692033]
['sepertiga', 0.9066932780522607]
['sepuluh', 0.8727392049478475]
['serahkan', 0.9056992042016909]
['seratus', 0.8703152800738454]
['seraya', 0.8452323784410223]
['serempangkan', 0.9040730640878492]
['serigala', 0.9070194029944069]
['seruannya', 0.9056992042016909]
['serukan', 0.9070194029944069]
['sesat', 0.8985043763225544]
['sesuai', 0.8619252605726282]
['sesuatupun', 0.9089948545591713]
['sesudahku', 0.9070194029944069]
['sesuka', 0.9070194029944069]
['sesukanya', 0.9070194029944069]
['sesungguhnya', 0.6243125644770533]
['setan', 0.863407559008255]
['setelahku', 0.9070194029944069]
['setelahnya', 0.8978547852418061]
['setengahnya', 0.9040730640878492]
['setimba', 0.9056992042016909]
['setuju', 0.9056992042016909]
['seukuran', 0.9040730640878492]
['sewangi', 0.9056992042016909]
['shafa', 0.9040730640878492]
['shaffaat', 0.9040730640878492]
['shahabat', 0.9040730640878492]
['shalat', 0.5913435331896577]
['shalatku', 0.8926295382235396]
['shalatlah', 0.8825219232611217]
['shalatnya', 0.8455462378516839]
['shalawat', 0.9040730640878492]
['shubuh', 0.8480439830620383]
['sidang', 0.9056992042016909]
['sikapi', 0.9089948545591713]
['siksanya', 0.9056992042016909]
['siku', 0.8958735568366359]
['silahkan', 0.9040730640878492]
['sinar', 0.9066932780522607]
['sinarnya', 0.8978547852418061]
['singgah', 0.9040730640878492]
['singgahi', 0.9040730640878492]
['singkirkanlah', 0.9040730640878492]
['siramkan', 0.9056992042016909]
['siramlah', 0.9056992042016909]
['sisa', 0.8401587877491346]
['sisa-sisa', 0.8921985363051652]
['sisanya', 0.9070194029944069]
['sisi', 0.8013049932585428]
['sisi-nya', 0.9040730640878492]
['sisinya', 0.8706473954784377]
['situ', 0.8926295382235396]
['siwak', 0.9056992042016909]
['siyah', 0.9040730640878492]
['sorban', 0.9056992042016909]
['sore', 0.9040730640878492]
['stempel', 0.9070194029944069]
